,ticker,name,common_name,sector
255,EGP,EASTGRP PROP,Eastgroup Properties Inc,35102020.0
256,EHC,ENCMPS HLTH CR,Encompass Health Corp,20101010.0
257,EIX,EDISON INTL,Edison International,65101015.0
258,EL,ESTEE LAUDER,Estee Lauder Companies Inc,40204035.0
259,ELY,CALLAWAY GOLF,Callaway Golf Co,40203050.0
260,EME,EMCOR GROUP,EMCOR Group Inc,50101010.0
261,EMN,EASTMAN CHEM,Eastman Chemical Co,55201000.0
262,EMR,EMERSON ELECTR,Emerson Electric Co,50202040.0
263,ENPH.O,ENPHASE ENRGY,Enphase Energy Inc,60102020.0
264,ENR,ENERGIZR HLDG,Energizer Holdings Inc,45201030.0
265,ENS,ENERSYS,EnerSys,50202010.0
266,ENV,ENVESTNET INC,Envestnet Inc,10101020.0
267,EOG,EOG RESOURCES,EOG Resources Inc,60101010.0
268,EPR,EPR PROPERTIES,EPR Properties,35102000.0
269,EQIX.O,EQUINIX INC,Equinix Inc,35102070.0
270,EQR,EQ RESIDENT,Equity Residential,35102040.0
271,EQT,EQT CORPORATIO,EQT Corp,60101010.0
272,ES,EVERSOURCE ENR,Eversource Energy,65101015.0
273,ESNT.K,ESSENT GROUP L,Essent Group Ltd,30302025.0
274,ESS,ESSEX PROP TR,Essex Property Trust Inc,35102040.0
275,ETN,EATON CORP,Eaton Corporation PLC,50203000.0
276,ETR,ENTERGY CP,Entergy Corp,65101015.0
277,ETRN.K,ETRNS MDSTRM C,Equitrans Midstream Corp,60101035.0
278,ETSY.O,ETSY INC,ETSY Inc,40401010.0
279,EVR,EVERCORE INC,Evercore Inc,30202010.0
280,EVRG.K,EVERGY INC,Evergy Inc,65101015.0
281,EW,EDWARDS LIFE,Edwards Lifesciences Corp,20102015.0
282,EWBC.O,EAST WEST BANC,East West Bancorp Inc,30101010.0
283,EXC.O,EXELON CORPRTN,Exelon Corp,65101015.0
284,EXEL.O,EXELIXIS INC,Exelixis Inc,20103010.0
285,EXP,EAGLE MATERIAL,Eagle Materials Inc,50101030.0
286,EXPD.O,EXPEDITORS,Expeditors International of Washington Inc,50206060.0
287,EXPE.O,EXPEDI GROUP I,Expedia Group Inc,40501015.0
288,EXR,EXTRA SPACE ST,Extra Space Storage Inc,35102070.0
289,F,FORD MOTOR CO,Ford Motor Co,40101020.0
